X,Y,objectid,numero_estacion,nombre_estacion,coordenada_x_estacion,coordenada_y_estacion,ubicacion_estacion,troncal_estacion,numero_vagones_estacion,numero_accesos_estacion,biciestacion_estacion,capacidad_biciestacion_estacion,tipo_estacion,biciparqueadero_estacion,latitud_estacion,longitud_estacion,codigo_nodo_estacion,componente_wifi,componente_aplificacion,globalid,created_user,created_date,last_edited_user,last_edited_date,log_replica,id_trazado_troncal
996881.2359,1006732.9453,79,06101,El Tiempo – Cámara de Comercio de Bogotá,996880.2363,1006732.282,KR 68d,Calle 26,2,1,0,0,4,0,4.65708058,-74.10562544,6101,Valor SI al campo,,{02440A7A-DD66-4D90-80C1-2505CFDCC94E},,,editorTroncal,2024/08/05 13:57:30+00,,TZ016
990919.3521,1004611.9297,80,05002,Biblioteca Tintal,990919.5881,1004611.658,Av.Cali - CL 26 sur,Americas,4,2,0,0,4,0,4.63789939,-74.1593448,5002,Valor SI al campo,,{33FE2A2A-AB3A-4532-99A2-F57B0B4933B6},,,editorTroncal,2024/08/05 13:57:30+00,,TZ009
998579.6295,998375.7169,81,10003,Ciudad Jardín - UAN,998576.2678,998378.0068,Kra 10- CL 12 sur,Cr 7-10,2,1,0,0,4,0,4.58153243,-74.09033824,10003,Valor SI al campo,,{FAEAD05C-72A5-47C1-BABE-B08592C69538},,,editorTroncal,2024/08/05 13:57:31+00,,TZ018
999523.4302,999756.620200001,82,10005,Bicentenario,999519.7539,999759.0085,Kra 10 -CL 5,Cr 7-10,3,2,1,116,2,1,4.59402109,-74.08183585,10005,Valor SI al campo,,{229ABDC8-545C-40C9-A189-16CCB9369F36},,,editorTroncal,2024/08/05 13:57:31+00,,TZ018
1001296.6237,1005173.1581,83,09119,Calle 57,1001296.6186,1005173.159,CL 57 - CL 54,Caracas,3,2,0,0,4,0,4.64298174,-74.0658221,9119,Valor SI al campo,,{86E321B6-516C-43D1-BB2D-6B3B1231F6EB},,,editorTroncal,2024/08/05 13:57:32+00,,TZ001
999736.9746,1003811.1036,84,07108,AV. ElDorado,999738.3359,1003810.9144,Kr 30 Av 28,NQS,2,1,0,0,4,0,4.63066292,-74.07986613,7108,Valor SI al campo,,{6712E5D7-6C96-4F16-956A-325F8F7E5FDE},,,editorTroncal,2024/08/05 13:57:32+00,,TZ008
1000593.1351,1002261.3919,85,09114,Calle 26,1000594.3086,1002260.7829,Avenida CL 28 - CL 2,Caracas,3,2,0,0,4,0,4.6166449,-74.07215189,9114,Valor SI al campo,,{4E73494D-71B1-4F23-9C61-30A9EEAA2064},,,editorTroncal,2024/08/05 13:57:33+00,,TZ001
993700.7859,999782.6428,86,07005,Alquería,993701.3005,999785.5084,AutoSur  KR 48,NQS,2,1,0,0,4,0,4.59425849,-74.13427126,7005,Valor SI al campo,,{68ECA9B8-46F7-4BC2-9A46-07C1C2E9F1C5},,,editorTroncal,2024/08/05 13:57:33+00,,TZ010
988491.1911,1000075.8352,87,07010,Bosa,988491.1911,1000075.8352,Autopista Sur - Av Bosa,Soacha,2,1,0,0,4,0,4.59687865,-74.18122466,7507,Valor SI al campo,,{43399EC3-08CD-45F1-993A-996E82C7F846},,,editorTroncal,2024/08/05 13:57:34+00,,TZ010
999262.2351,1003007.9562,88,07109,CAD,999261.073,1003008.9268,Kr 30 Cl 26,NQS,2,2,0,0,4,0,4.62341044,-74.08416734,7109,Valor SI al campo,,{BC62CB77-4008-461D-AFF0-10F150F7D0F4},,,editorTroncal,2024/08/05 13:57:34+00,,TZ008
992425.749,1003881.1225,89,05100,Banderas,992425.812,1003881.798,Av. Americas -KR 78,Americas,4,2,1,101,2,1,4.63130064,-74.14576938,5100,Valor SI al campo,,{EDD7AE37-FCE4-4B0F-A432-D61F6B3EF917},,,editorTroncal,2024/08/05 13:57:34+00,,TZ009
1000071.8573,1001289.6235,90,09111,Calle 19,1000072.097,1001289.4507,CL 19 - CL 17,Caracas,3,2,0,0,4,0,4.60786106,-74.07685817,9111,Valor SI al campo,,{B3624EDB-2284-49BA-BD72-87211384DC95},,,editorTroncal,2024/08/05 13:57:35+00,,TZ001
999821.6672,1000756.3369,91,14003,AV. Jiménez - CL 13,999822.3829,1000757.208,CL 13 - caracas,Americas,2,2,0,0,3,0,4.60304793,-74.07910861,14003,Valor SI al campo,,{B0817794-7B21-4D2E-9E71-CC22554F8D33},,,editorTroncal,2024/08/05 13:57:35+00,,TZ015
999894.6968,1005954.4253,92,07105,Movistar Arena,999907.0205,1005953.4981,Kr 30 Cl 57,NQS,2,1,0,0,4,0,4.65003852,-74.07834591,7105,Valor SI al campo,,{35754D20-95B5-4122-971B-2CC9BA4A9689},,,editorTroncal,2024/08/05 13:57:36+00,,TZ008
1000977.3391,1003394.6489,93,09116,AV. 39,1000978.3111,1003394.4912,Avenida 39,Caracas,3,2,0,0,4,0,4.62689711,-74.06869106,9116,Valor SI al campo,,{A6314F6E-1B25-43F0-8BBD-45F98682F899},,,editorTroncal,2024/08/05 13:57:36+00,,TZ001
1001803.7639,1007390.0123,94,09123,Calle 76 - San Felipe,1001802.7451,1007390.1883,CL 76 - CL 74,Caracas,3,2,0,0,4,0,4.66303046,-74.06126016,9123,Valor SI al campo,,{439753EE-91CF-4CF7-AA8B-3DA2BCAAF7E3},,,editorTroncal,2024/08/05 13:57:37+00,,TZ001
1001978.0332,1008417.6643,95,02303,Calle 85,1001982.479,1008416.9027,CL 85,Autonorte,3,1,0,0,4,0,4.6723151,-74.05964002,2303,Valor SI al campo,Valor SI al campo,{3F4CADEE-9876-4849-A366-16B328253C82},,,editorTroncal,2024/08/05 13:57:37+00,,TZ002
995520.4439,999843.544,96,07008,NQS - Calle 30 S,995520.2287,999844.359,AutoSur-Dg 26 Sur,NQS,2,1,0,0,4,0,4.59479179,-74.11787927,7008,Valor SI al campo,,{189F06BC-6972-4E2D-B9DB-A772F529BA70},,,editorTroncal,2024/08/05 13:57:38+00,,TZ010
997659.1165,997256.4005,97,10001,Country Sur,997655.965,997259.1614,Kra 10- CL 28 Sur,Cr 7-10,2,2,0,0,4,0,4.57141439,-74.09863149,10001,Valor SI al campo,,{8EC773E7-07E3-4807-A899-8A576CC13CF7},,,editorTroncal,2024/08/05 13:57:38+00,,TZ018
1000430.5578,1009048.4578,98,04106,Carrera 47,1000429.0753,1009046.2255,KR 46,Calle 80,2,1,0,0,4,0,4.67800634,-74.07364067,4106,Valor SI al campo,,{7FFC4C1C-AB36-4DC4-8878-DC39BA5A2DC5},,,editorTroncal,2024/08/05 13:57:38+00,,TZ005
996685.72,998091.7349,99,09103,Olaya,996687.3113,998087.9086,CL 24 Sur - CL 27 Su,Caracas,2,1,0,0,4,0,4.57890853,-74.10736095,9103,Valor SI al campo,,{41089918-501C-4A31-B2E0-5011E23F7827},,,editorTroncal,2024/08/05 13:57:39+00,,TZ012
995078.6141,995670.624600001,100,09001,Molinos,995081.1436,995671.889,KR 9A,Caracas,2,2,0,0,2,0,4.55705944,-74.12183395,9001,Valor SI al campo,,{CBFD745D-0834-4F22-B22A-52B2A3742795},,,editorTroncal,2024/08/05 13:57:39+00,,TZ012
998176.4651,998904.9386,101,09106,Nariño,998178.1194,998903.6301,CL 8 Sur - CL 11 Sur,Caracas,2,1,0,0,4,0,4.58628563,-74.09392637,9106,Valor SI al campo,,{C2EE1BCE-4F84-49D6-95BA-4A26C36C0716},,,editorTroncal,2024/08/05 13:57:40+00,,TZ012
